# Optical absorption spectrum of Acridine orange in basic ethanol
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by R.-C. A. Fuh in the summer of 1995 using a Cary 3.  
# The absorption values were collected using a spectral bandwidth of 1.0 nm, a signal averaging time of 0.133 sec, a data interval of 0.25 nm, and a scan rate of 112.5 nm/min.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 27000 cm-1/M at 430.8 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Ferguson, J. and A. W. H. Mau (1972) Absorption studies of acid-base equilibria of dye solutions.  Chem. Phys. Lett. 17, 543-546.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
219.75	17234
220	17538
220.25	17205
220.5	17542
220.75	17473
221	17383
221.25	17453
221.5	17149
221.75	17336
222	16994
222.25	16946
222.5	16721
222.75	16503
223	16281
223.25	16185
223.5	15893
223.75	15687
224	15457
224.25	15187
224.5	15138
224.75	14819
225	14726
225.25	14517
225.5	14398
225.75	14152
226	14008
226.25	13894
226.5	13838
226.75	13688
227	13627
227.25	13478
227.5	13407
227.75	13317
228	13288
228.25	13179
228.5	13183
228.75	13049
229	12963
229.25	12864
229.5	12901
229.75	12863
230	12783
230.25	12747
230.5	12642
230.75	12609
231	12609
231.25	12633
231.5	12552
231.75	12553
232	12475
232.25	12455
232.5	12440
232.75	12455
233	12374
233.25	12405
233.5	12421
233.75	12462
234	12421
234.25	12470
234.5	12484
234.75	12598
235	12674
235.25	12667
235.5	12789
235.75	12828
236	12958
236.25	13012
236.5	13117
236.75	13235
237	13326
237.25	13424
237.5	13670
237.75	13760
238	13844
238.25	14032
238.5	14175
238.75	14296
239	14510
239.25	14630
239.5	14786
239.75	15061
240	15223
240.25	15407
240.5	15563
240.75	15838
241	16037
241.25	16227
241.5	16502
241.75	16739
242	16927
242.25	17135
242.5	17365
242.75	17597
243	17875
243.25	18125
243.5	18459
243.75	18706
244	18923
244.25	19188
244.5	19495
244.75	19778
245	19923
245.25	20268
245.5	20630
245.75	20947
246	21171
246.25	21554
246.5	21783
246.75	22105
247	22384
247.25	22694
247.5	23005
247.75	23371
248	23674
248.25	24002
248.5	24373
248.75	24708
249	25031
249.25	25286
249.5	25636
249.75	26001
250	26267
250.25	26695
250.5	26947
250.75	27364
251	27649
251.25	27947
251.5	28310
251.75	28603
252	29053
252.25	29299
252.5	29705
252.75	30092
253	30474
253.25	30827
253.5	31198
253.75	31517
254	31885
254.25	32250
254.5	32600
254.75	32768
255	32826
255.25	33266
255.5	33735
255.75	34058
256	34390
256.25	34682
256.5	35129
256.75	35393
257	35843
257.25	36157
257.5	36446
257.75	36774
258	37087
258.25	37474
258.5	37862
258.75	37972
259	38279
259.25	38698
259.5	38880
259.75	39207
260	39519
260.25	39793
260.5	40179
260.75	40034
261	40551
261.25	40912
261.5	41169
261.75	41369
262	41713
262.25	41800
262.5	42269
262.75	42459
263	42575
263.25	42788
263.5	43052
263.75	43381
264	43607
264.25	43861
264.5	44176
264.75	44397
265	44730
265.25	44897
265.5	45277
265.75	45597
266	45861
266.25	45888
266.5	46185
266.75	46540
267	46832
267.25	47181
267.5	47403
267.75	47612
268	47842
268.25	47969
268.5	48182
268.75	48086
269	48581
269.25	48671
269.5	48687
269.75	48843
270	48927
270.25	48951
270.5	49138
270.75	49107
271	49107
271.25	48823
271.5	48850
271.75	48904
272	48827
272.25	48401
272.5	48288
272.75	47872
273	47658
273.25	47429
273.5	46963
273.75	46707
274	46221
274.25	45866
274.5	45349
274.75	44688
275	44249
275.25	43618
275.5	42944
275.75	42500
276	41641
276.25	41035
276.5	40539
276.75	40041
277	39254
277.25	38840
277.5	38303
277.75	37782
278	37246
278.25	36824
278.5	36403
278.75	35808
279	35295
279.25	34877
279.5	34642
279.75	34228
280	33756
280.25	33398
280.5	32958
280.75	32828
281	32469
281.25	32269
281.5	31864
281.75	31810
282	31644
282.25	31346
282.5	31147
282.75	31119
283	30919
283.25	30865
283.5	30768
283.75	30543
284	30549
284.25	30501
284.5	30440
284.75	30472
